replication,blocksize,dimension,start_reduce_percentage,reducers,taskio,start_time,start_reduce,end_time,total_time
3,168960000,1500000000,0.75,12,100,1457237341,1457237794,1457237880,539
1,99840000,4600000000,0.5,12,100,1457703382,1457703448,1457703606,224
3,16640000,200000000,0.5,12,100,1456978598,1456978622,1456978630,32
4,33280000,400000000,0.05,12,100,1456993878,1456993906,1456994062,184
4,256000000,6200000000,0.35,12,100,1457392892,1457393000,1457393097,205
1,99840000,3800000000,0.35,12,100,1457706081,1457706142,1457706305,224
4,76800000,800000000,0.35,12,100,1457194564,1457194617,1457194668,104
1,128000000,620000000000,0.75,12,100,1458454852,1458463889,1458468454,13602
4,148480000,800000000,0.75,12,100,1457198796,1457198862,1457198875,79
1,104960000,5700000000,0.5,12,100,1457712642,1457712766,1457712862,220
4,256000000,1800000000,0.75,12,100,1457245168,1457245450,1457245529,361
3,19968000,700000000,0.75,12,100,1457179249,1457179294,1457179380,131
3,256000000,1800000000,0.75,12,100,1457232443,1457232533,1457232554,111
1,16640000,500000000,0.05,12,100,1456961000,1456961028,1456961096,96
1,128000000,460000000000,0.75,12,100,1458327012,1458333788,1458337211,10199
1,33280000,300000000,0.05,12,100,1456962742,1456962766,1456962782,40
4,33280000,200000000,0.5,12,100,1456991986,1456992017,1456992030,44
3,16640000,500000000,0.05,12,100,1456981513,1456981542,1456981630,117
3,148480000,700000000,0.35,12,100,1457186424,1457186484,1457186525,101
1,99840000,620000000000,0.35,12,100,1458077808,1458082196,1458093579,15771
4,33280000,400000000,0.5,12,100,1456993452,1456993541,1456993556,104
